,model_name,moyenne,ELBO,Reconstruction_error,RMSE_SIGMA,RMSE_B,RMSE_PI,RMSE_B0,TIME,NBITER
0,Enhanced Analytic,2.0,35425483.53998819,0.54149598545507,0.9535290474708142,0.30860464452626735,0.12229375100142902,21.6650043365789,19.607386350631714,539
0,Enhanced Analytic,2.0,35313627.74435621,0.5420749580932371,0.9536332431322178,0.2844777703930564,0.1164849696566922,15.345198813879625,21.036493062973022,529
0,Enhanced Analytic,2.0,34782500.10675059,0.5385879288871991,0.9532947194701433,0.3379187124651497,0.12409883190569193,1.8049124794580758,19.737873792648315,546
0,Enhanced Analytic,2.0,35180919.493504666,0.5395072587015548,0.9531141159209015,0.3138933397958206,0.11985308491349868,1.4144020624419222,19.837891101837158,544
0,Enhanced Analytic,2.0,35184455.52107223,0.5371332346908798,0.953276134802465,0.30943211706359575,0.11846387169260038,15.368340847177594,19.946460485458374,549
0,Enhanced Analytic,2.0,35125692.651340276,0.5339144739551757,0.9534136575231644,0.3080248236851813,0.1140308350147142,21.62788126781355,21.69753384590149,543
0,Enhanced Analytic,2.0,35095928.43502076,0.534694096746919,0.9533320335032577,0.3191408726746176,0.1228561413425018,21.725553053613627,22.765104293823242,543
0,Enhanced Analytic,2.0,35286238.40605915,0.5375723787691314,0.9534430954125135,0.28944852789152425,0.12231400432621574,15.42882624184021,22.385753870010376,542
0,Enhanced Analytic,2.0,35315393.22536415,0.5416785014796917,0.9533360317341142,0.27804482894416477,0.11287756122509371,15.327227493015194,19.585899353027344,557
0,Enhanced Analytic,2.0,35113522.92082608,0.5302131237375282,0.9533195526097006,0.3327687909460699,0.11423494820782226,15.318309655200895,19.878824949264526,550
0,Enhanced Analytic,2.5,39486305.28701954,0.5486876165334008,0.9533657413824335,0.31515841143030976,0.11811638215729402,21.6562269234996,20.548216819763184,548
0,Enhanced Analytic,2.5,39676564.10243425,0.5563430013039992,0.953561688344861,0.28946224474215554,0.11241447977147036,15.419346557544669,19.037867784500122,550
