,model_name,moyenne,ELBO,Reconstruction_error,RMSE_SIGMA,RMSE_B,RMSE_PI,RMSE_B0,TIME,NBITER
0,Enhanced Analytic,0.21666666666666667,38194420.01449002,0.5898051709455087,0.9542653923621434,0.31456460508102524,0.1393668588403297,36.39790430759049,18.497604370117188,553
0,Enhanced Analytic,0.21666666666666667,38161213.823035784,0.593535421708823,0.9545450403337697,0.3094142360692426,0.14000956947677415,4.2600378334722775,19.876317977905273,546
0,Enhanced Analytic,0.21666666666666667,38192289.194540516,0.5917402247608893,0.954453630648164,0.31231831729229187,0.1447729031869525,44.51220527248081,19.74604058265686,549
0,Enhanced Analytic,0.21666666666666667,38408030.22693706,0.5942964852614626,0.9546365644874704,0.28295746065070576,0.1410317063484812,36.23340204383725,20.06911873817444,550
0,Enhanced Analytic,0.21666666666666667,38537655.52800294,0.596997186649359,0.9545104981981044,0.282439083914942,0.137226579771926,44.05333112869894,19.090608835220337,551
0,Enhanced Analytic,0.21666666666666667,38131222.505100586,0.585917196313542,0.9544648877540136,0.3362305468273856,0.14116464333174011,51.19578093803391,17.813393592834473,554
0,Enhanced Analytic,0.33333333333333337,33838104.14613916,0.5140617537206265,0.9528667040857064,0.3261989861661014,0.10917769824768424,19.422490866624514,18.40197253227234,548
0,Enhanced Analytic,0.33333333333333337,34055033.83781753,0.5197844048347958,0.9528963140340795,0.3050358526579661,0.10691482111007072,1.0794993082478275,17.766910076141357,553
0,Enhanced Analytic,0.33333333333333337,33874607.475679934,0.5234725173072008,0.9531910065500363,0.3034027096301334,0.10462198385739178,18.31977914758321,22.013751745224,548
0,Enhanced Analytic,0.33333333333333337,33808901.506582476,0.5156822806610883,0.9530596141872186,0.34523104599011767,0.12036370596301367,17.94013545005324,20.178090810775757,549
0,Enhanced Analytic,0.33333333333333337,33730647.22684556,0.5182159535852681,0.9531264030320431,0.31509491055771666,0.11286277189648707,26.309446855137466,21.173691749572754,542
0,Enhanced Analytic,0.33333333333333337,34223616.12897938,0.5210491673769131,0.9531542424828536,0.31671181091154205,0.11428162572374692,19.954457018617433,17.511109113693237,551
0,Enhanced Analytic,0.33333333333333337,34043118.901529334,0.5207558007203752,0.9532510193477649,0.3087695000736697,0.10989475590736665,1.9411509563684521,18.41371774673462,543
0,Enhanced Analytic,0.33333333333333337,33561583.295771524,0.5175220141002068,0.9529490128660921,0.33392429133504287,0.11451273220742182,19.960567002431404,17.760469913482666,554
0,Enhanced Analytic,0.33333333333333337,33935432.18158801,0.5191480321870703,0.9528153914446418,0.32044301190441754,0.11092685507290105,1.0652365033254827,20.8722882270813,543
0,Enhanced Analytic,0.33333333333333337,33828294.433349304,0.515772251095038,0.9529231708259785,0.3133637885149549,0.11161275981219085,27.067360926710737,17.832253456115723,548
0,Enhanced Analytic,0.33333333333333337,33932525.65551538,0.5137801033644959,0.9530899644114558,0.30722457694293853,0.10465830464079363,1.617126021180417,18.31481146812439,546
0,Enhanced Analytic,0.33333333333333337,33887628.70689112,0.5147484094788495,0.9529977865100099,0.31680144208243743,0.11351537425479259,19.8006063126046,24.44888734817505,539
0,Enhanced Analytic,0.33333333333333337,34076227.15106024,0.5164194738801051,0.9530883643296059,0.2861915311463195,0.11406749301924189,1.2570353882401561,17.85460329055786,554
0,Enhanced Analytic,0.33333333333333337,34068119.467734635,0.5220358338387081,0.9529643801869081,0.272572576500262,0.10542479307859193,1.4075005697609353,22.487608909606934,540
0,Enhanced Analytic,0.33333333333333337,33946962.74706054,0.5107437147709755,0.9529741916045659,0.3342446738636507,0.1028256570753831,1.0496608605304205,20.074542760849,532
0,Enhanced Analytic,0.45000000000000007,29687807.802157503,0.4531581896610856,0.9518664949288705,0.32188511293992456,0.08174350185063355,0.6250585049641774,21.653407096862793,541
0,Enhanced Analytic,0.45000000000000007,29621183.0823416,0.4539546385758635,0.9520029354545922,0.3155044352671433,0.08454972148029896,16.735130856568325,17.410990715026855,555
