,n,p,d,seed,param,RMSE
57,250,10,2,8,sigma,0.21158940044570734
58,250,10,2,9,coef,0.14332117281269102
59,250,10,2,9,sigma,0.21097959669099323
60,250,10,2,10,coef,0.1455642158741063
61,250,10,2,10,sigma,0.23365757504720178
62,250,10,2,11,coef,0.17779593584327824
63,250,10,2,11,sigma,0.19060610571131809
64,250,10,2,12,coef,0.14892792138577335
65,250,10,2,12,sigma,0.2162298126623304
66,250,10,2,13,coef,0.11949987313628832
67,250,10,2,13,sigma,0.15696810774331962
68,250,10,2,14,coef,0.14553127891423015
69,250,10,2,14,sigma,0.1890586577824298
70,250,10,2,15,coef,0.14881456775517257
71,250,10,2,15,sigma,0.19884401035854415
72,250,10,2,16,coef,0.18874208671848236
73,250,10,2,16,sigma,0.20304209858751288
74,250,10,2,17,coef,0.18581324439185595
75,250,10,2,17,sigma,0.1830189351035632
76,250,10,2,18,coef,0.12756224367988564
77,250,10,2,18,sigma,0.20098977875093396
78,250,10,2,19,coef,0.11182254101733341
79,250,10,2,19,sigma,0.19411412972687647
80,250,10,3,0,coef,0.1299026592428831
81,250,10,3,0,sigma,0.17825155969436185
82,250,10,3,1,coef,0.14691552914787434
83,250,10,3,1,sigma,0.19119099273744855
84,250,10,3,2,coef,0.10588008998725225
85,250,10,3,2,sigma,0.18041157044755518
86,250,10,3,3,coef,0.17015625582085203
87,250,10,3,3,sigma,0.21525484599369887
88,250,10,3,4,coef,0.2093856091919916
89,250,10,3,4,sigma,0.18064489704595346
90,250,10,3,5,coef,0.14649731802585633
91,250,10,3,5,sigma,0.16922008832973515
92,250,10,3,6,coef,0.14619232099501525
93,250,10,3,6,sigma,0.19894361635616786
94,250,10,3,7,coef,0.20923749418231713
95,250,10,3,7,sigma,0.19089659996507818
96,250,10,3,8,coef,0.14926913545087014
97,250,10,3,8,sigma,0.22079437684029563
98,250,10,3,9,coef,0.14297890029804172
99,250,10,3,9,sigma,0.19941618185284618
100,250,10,3,10,coef,0.11971102949587827
101,250,10,3,10,sigma,0.21432881043527113
102,250,10,3,11,coef,0.12614278101931492
103,250,10,3,11,sigma,0.17746554798350278
